Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
976669,72208311151,3150791,0.05262369,7.93E-07,2.472913175
977059,72208311151,3160302,0.050912792,8.03E-07,23.09196872
977194,72208311151,3160437,0.0408405,7.99E-07,7.28341638
977540,72208311151,3160783,0.049093229,8.01E-07,3.251329526
977785,72208311151,3170091,0.042720301,7.96E-07,14.98003193
978076,72208311151,3170382,0.035154794,7.94E-07,21.94855532
978335,72208311151,3170641,0.045318106,8.17E-07,17.60818816
978537,72208311151,3180024,0.04083113,8.01E-07,9.438482092
978899,72208311151,3180386,0.052592906,7.94E-07,12.4157374
979208,72208311151,3180695,0.0353689,7.98E-07,10.40455378
979982,72208311151,3190570,0.040145263,7.95E-07,19.3955394
980224,72208311151,3190812,0.036889327,7.93E-07,21.86987278
980573,72208311151,3200244,0.057112858,8.16E-07,18.16038313
980857,72208311151,3200528,0.047218426,8.14E-07,18.41702596
981315,72208311151,3210089,0.055940486,7.95E-07,18.63648037
981742,72208311151,3210516,0.058686967,7.93E-07,1.920775898
982162,72208311151,3220070,0.040997643,8.23E-07,10.67805221
982343,72208311151,3220251,0.04143186,8.16E-07,10.25415445
982952,72208311151,3230010,0.035820681,8.85E-07,-538.310561
983029,72208311151,3230087,0.035144258,8.12E-07,8.340929891
983035,72208311151,3230093,0.04581045,7.98E-07,15.51487193
983302,72208311151,3230360,0.058098583,7.99E-07,1.527189344
983308,72208311151,3230366,0.035109701,7.95E-07,24.84455933
983856,72208311151,3240038,0.040560336,8.20E-07,17.88400792
984364,72208311151,3240546,0.066753427,8.10E-07,3.597699825
985054,72208311151,3250393,0.057565878,7.95E-07,10.14522201
985193,72208311151,3250532,0.049187122,7.98E-07,4.921787454
985984,72208311151,3260451,0.042882422,8.24E-07,10.15494308
1019616,72208311151,3640576,0.079128534,7.95E-07,2.764604887
1037196,72208311151,3850040,0.036874985,7.91E-07,16.69964845
1039901,72208311151,3880144,0.046350653,8.09E-07,-1579.37658
1049917,72208311151,3990508,0.058628211,8.14E-07,26.92864606
1054354,72208311151,4040541,0.038619097,7.96E-07,13.43802059
6107,72209162200,70265,0.035492627,8.24E-07,58.54754889
40145,72209162200,430871,0.099516752,8.27E-07,10.36756225
40417,72209162200,440254,0.045830295,8.10E-07,33.96192149
44615,72209162200,480783,0.036226841,8.14E-07,29.03361604
45533,72209162200,490759,0.260436379,8.25E-07,28.9359731
48298,72209162200,520788,0.035015524,8.34E-07,39.4617722
51297,72209162200,560096,0.938783281,8.01E-07,58.21591694
54136,72209162200,590105,0.505873941,8.17E-07,40.93432493
55791,72209162200,600805,0.085282336,8.34E-07,52.51320846
60164,72209162200,650562,0.035800719,8.32E-07,48.18487688
64728,72209162200,700360,0.036148316,8.02E-07,42.4238185
73880,72209162200,800237,0.040017307,8.04E-07,7.504027838
90129,72209162200,970769,0.27858814,8.21E-07,34.01864239
90562,72209162200,980261,0.035114935,8.24E-07,56.34924492
91375,72209162200,990193,0.827466888,8.27E-07,50.08702485
